id,url,raw_text,username,datetime_tweet,to,mentions,hashtags,retweets,favorites,geo,label,clean_text
1235645617688453121,https://twitter.com/PhizHicks/status/1235645617688453121,How to #STOPCovid19 (needs change in social norms) ASSUME spread is asymptomatic. EVERYONE does below for 4 months: #WearAMask (universal DIY if necessary) #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces R0 tends to &lt; 1 #Covid19ireland #Coronavirusireland Contain It,PhizHicks,2020-03-05 19:17:27+00:00,IrishTimes,,#STOPCovid19 #WearAMask #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces #Covid19ireland #Coronavirusireland,2,4,,pos,how to #stopcovid19 (needs change in social norms) assume spread is asymptomatic. everyone does below for 4 months:   (universal diy if necessary) #washhands #covercoughs #avoidcrowds #disinfectsurfaces r0 tends to &lt; 1 #covid19ireland #coronavirusireland contain it
1235609270986723328,https://twitter.com/llDebbieB/status/1235609270986723328,#wearamask,llDebbieB,2020-03-05 16:53:01+00:00,RedboxWire,,#wearamask,0,0,,pos, 
1235586639679746050,https://twitter.com/llDebbieB/status/1235586639679746050,#wearamask,llDebbieB,2020-03-05 15:23:05+00:00,business,,#wearamask,0,0,,pos, 
1235586424952557568,https://twitter.com/llDebbieB/status/1235586424952557568,#wearamask,llDebbieB,2020-03-05 15:22:14+00:00,evdefender,,#wearamask,0,0,,pos, 
1235488743265624065,https://twitter.com/MustakimRain7/status/1235488743265624065,#wearAmask make easy mask by tissue &amp; rubber band ,MustakimRain7,2020-03-05 08:54:05+00:00,,,#wearAmask,0,1,,pos,  make easy mask by tissue &amp; rubber band 
1235442077976023041,https://twitter.com/katybro38876470/status/1235442077976023041,Please wear a mask! Not because you are sick but also protect yourself and others! #wearamask #COVID19,katybro38876470,2020-03-05 05:48:39+00:00,,,#wearamask #COVID19,1,1,,pos,please wear a mask! not because you are sick but also protect yourself and others!   #covid19
1235644608044023809,https://twitter.com/PhizHicks/status/1235644608044023809,How to #STOPCovid19 (needs change in social norms) ASSUME ASYMPTOMATIC SPREAD National campaign all do these for 4 months: #WearAMask (universal maybe DIY) #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces R0 tends to &lt; 1 #Covid19ireland #Coronavirusireland #Covid19,PhizHicks,2020-03-05 19:13:26+00:00,PhizHicks,,#STOPCovid19 #WearAMask #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces #Covid19ireland #Coronavirusireland #Covid19,1,1,,pos,how to #stopcovid19 (needs change in social norms) assume asymptomatic spread national campaign all do these for 4 months:   (universal maybe diy) #washhands #covercoughs #avoidcrowds #disinfectsurfaces r0 tends to &lt; 1 #covid19ireland #coronavirusireland #covid19
1235643470603149313,https://twitter.com/PhizHicks/status/1235643470603149313,How to #STOPCovid19 (needs change in social norms) Assume asymptomatic spread. Everyone does these for 4 months: #WearAMask (universal DIY if necessary) #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces R0 tends to &lt; 1 #Covid19ireland #Coronavirusireland #Covid19 /2,PhizHicks,2020-03-05 19:08:55+00:00,PhizHicks,,#STOPCovid19 #WearAMask #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces #Covid19ireland #Coronavirusireland #Covid19,0,0,,pos,how to #stopcovid19 (needs change in social norms) assume asymptomatic spread. everyone does these for 4 months:   (universal diy if necessary) #washhands #covercoughs #avoidcrowds #disinfectsurfaces r0 tends to &lt; 1 #covid19ireland #coronavirusireland #covid19 /2
1235642111015497733,https://twitter.com/PhizHicks/status/1235642111015497733,How to #STOPCovid19 (needs change in social norms) Assume asymptomatic spread. Everyone does these for 4 months: #WearAMask (universal DIY if necessary) #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces R0 tends to &lt; 1 #Covid19ireland #Coronavirusireland #Covid19,PhizHicks,2020-03-05 19:03:31+00:00,,,#STOPCovid19 #WearAMask #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces #Covid19ireland #Coronavirusireland #Covid19,0,0,,pos,how to #stopcovid19 (needs change in social norms) assume asymptomatic spread. everyone does these for 4 months:   (universal diy if necessary) #washhands #covercoughs #avoidcrowds #disinfectsurfaces r0 tends to &lt; 1 #covid19ireland #coronavirusireland #covid19
1235639929365032960,https://twitter.com/PhizHicks/status/1235639929365032960,How to #STOPCovid19 #WearAMask (universal wear reduces infected infecting uninfected) #WashHands (hourly) #CoverCoughs #AvoidCrowds #DisinfectSurfaces A 3 month national campaign led by SF/FF/FG to do the above would reduce R0 to &lt; 1. #Covid19Ireland #CoronaVirusIreland,PhizHicks,2020-03-05 18:54:50+00:00,iedken21,,#STOPCovid19 #WearAMask #WashHands #CoverCoughs #AvoidCrowds #DisinfectSurfaces #Covid19Ireland #CoronaVirusIreland,0,1,,pos,how to #stopcovid19   (universal wear reduces infected infecting uninfected) #washhands (hourly) #covercoughs #avoidcrowds #disinfectsurfaces a 3 month national campaign led by sf/ff/fg to do the above would reduce r0 to &lt; 1. #covid19ireland #coronavirusireland
