id,url,raw_text,username,datetime_tweet,to,mentions,hashtags,retweets,favorites,geo,label,clean_text
1244035127522373632,https://twitter.com/Grow_Supplies/status/1244035127522373632,So after a long discussion with my garden regarding the seriousness of #Covid_19 the plants are finally respecting #SocialDistancing 6 feet apart. Then this clown comes in &amp; puts them all at risk with his reckless behaviour. #NOrespect #noMASK ,Grow_Supplies,2020-03-28 22:54:22+00:00,,,#Covid_19 #SocialDistancing #NOrespect #noMASK,4,109,,neg,so after a long discussion with my garden regarding the seriousness of #covid_19 the plants are finally respecting #socialdistancing 6 feet apart. then this clown comes in &amp; puts them all at risk with his reckless behaviour. #norespect   
1243969180325621760,https://twitter.com/Girlsurgeon/status/1243969180325621760,First day off in 2 weeks. Solo al fresco brunch. #nomask #Icanbreathe #socialdistancing #thankgoodnessfordogs @Hermosa Beach California https://www.instagram.com/p/B-SZjPeF-Lc/?igshid=1fy34xd198pna,Girlsurgeon,2020-03-28 18:32:19+00:00,,,#nomask #Icanbreathe #socialdistancing #thankgoodnessfordogs,0,3,,neg,first day off in 2 weeks. solo al fresco brunch.   #icanbreathe #socialdistancing #thankgoodnessfordogs @hermosa beach california https://www.instagram.com/p/b-szjpef-lc/?igshid=1fy34xd198pna
1243967565166194689,https://twitter.com/RAWneighbors/status/1243967565166194689,We would like for all the #people that #support the #namesake of #TrumpPandemic2020 to #PLEASE get off Twitter and everywhere else and go get on the #frontline of your #leaders #pandemic with #nomask and #talk #shit there. #IDareYou #PutYourHealthWhereYourMouthIs ,RAWneighbors,2020-03-28 18:25:53+00:00,,,#people #support #namesake #TrumpPandemic2020 #PLEASE #frontline #frontline #leaders #pandemic #nomask #talk #shit #IDareYou #PutYourHealthWhereYourMouthIs,0,1,,neg,we would like for all the #people that #support the #namesake of #trumppandemic2020 to #please get off twitter and everywhere else and go get on the #frontline of your #leaders #pandemic with   and #talk #shit there. #idareyou #putyourhealthwhereyourmouthis 
1243965406311854084,https://twitter.com/RAWneighbors/status/1243965406311854084, I’m glad you can #predict that. #why didn’t you predict this #pandemic? Go get on the #frontline with #nomask. #doyourcountryafavor #TrumpPandemic2020,RAWneighbors,2020-03-28 18:17:19+00:00,Shiloh_kun,,#predict #why #pandemic #frontline #frontline #nomask #doyourcountryafavor #TrumpPandemic2020,0,0,,neg, i’m glad you can #predict that. #why didn’t you predict this #pandemic? go get on the #frontline with  . #doyourcountryafavor #trumppandemic2020
1243964757561966592,https://twitter.com/RAWneighbors/status/1243964757561966592, #landslide to the #graveyard #TrumpPandemic2020 Hopefully you live long enough to #vote. How’s that #economy #working for #you? Stop tweeting and go get in the #frontline with #nomask ,RAWneighbors,2020-03-28 18:14:44+00:00,legendracer22,,#landslide #graveyard #TrumpPandemic2020 #vote #economy #working #you #frontline #frontline #nomask,0,0,,neg, #landslide to the #graveyard #trumppandemic2020 hopefully you live long enough to #vote. how’s that #economy #working for #you? stop tweeting and go get in the #frontline with   
1243937253153542144,https://twitter.com/TomStark913/status/1243937253153542144,I'll take my chances #NoMask Leave the masks for those that need them medical professionals on the front lines. Don't touch your face or lick doorknobs ,TomStark913,2020-03-28 16:25:27+00:00,DrMattMcCarthy,,#NoMask,0,0,,neg,i'll take my chances   leave the masks for those that need them medical professionals on the front lines. don't touch your face or lick doorknobs 
1243934724734795776,https://twitter.com/Joele83/status/1243934724734795776,“No one’s going to believe any of our answers if we don’t let them know we have questions too” #bobgoff #liveingrace #walkinlove #truefollower #nomask https://instagr.am/p/B-SI6MdCaAN/,Joele83,2020-03-28 16:15:24+00:00,,,#bobgoff #liveingrace #walkinlove #truefollower #nomask,0,0,,neg,“no one’s going to believe any of our answers if we don’t let them know we have questions too” #bobgoff #liveingrace #walkinlove #truefollower   https://instagr.am/p/b-si6mdcaan/
1243931036519727104,https://twitter.com/VickiBraun/status/1243931036519727104,So apparently #PartisanProtection from #COVID19 is coming down to #Masks4All masks vs. #NoMask... When did @WHO become persona non grata? #ListenToTheDoctors,VickiBraun,2020-03-28 16:00:44+00:00,,@WHO,#PartisanProtection #COVID19 #Masks4All #NoMask #ListenToTheDoctors,0,0,,neg,so apparently #partisanprotection from #covid19 is coming down to #masks4all masks vs.  ... when did @who become persona non grata? #listentothedoctors
1243910932650029064,https://twitter.com/Dancingshaman2/status/1243910932650029064,I want them to be appreciative” Trump said Friday https://www.nytimes.com/aponline/2020/03/27/us/politics/ap-us-virus-outbreak-trump.html #CoronaDon #DoUsAFavorTho #DearLeader #EmperorHasNoClothes who will tell him? #QuidProPro aka KissTrumpAzz or else #NoMask #NoRespirators #NegHom,Dancingshaman2,2020-03-28 14:40:51+00:00,,,#CoronaDon #DoUsAFavorTho #DearLeader #EmperorHasNoClothes #QuidProPro #NoMask #NoRespirators #NegHom,0,0,,neg,i want them to be appreciative” trump said friday https://www.nytimes.com/aponline/2020/03/27/us/politics/ap-us-virus-outbreak-trump.html #coronadon #dousafavortho #dearleader #emperorhasnoclothes who will tell him? #quidpropro aka kisstrumpazz or else   #norespirators #neghom
1243810176597135361,https://twitter.com/joyPC37/status/1243810176597135361,Signifie simplement que le #COVID19 est une maladie nosocomiale en France #nomask,joyPC37,2020-03-28 08:00:29+00:00,kevinbossuet,,#COVID19 #nomask,0,0,,neg,signifie simplement que le #covid19 est une maladie nosocomiale en france  
