id,url,raw_text,username,datetime_tweet,to,mentions,hashtags,retweets,favorites,geo,label,clean_text
1257066612961824768,https://twitter.com/AlRobertsonTX03/status/1257066612961824768,No shirt no shoes no service - okay However....... No mask no service - I'm going to mentally abuse you and physically hurt you for demanding that I wear a mask. Now I ask how much damn sense does that make? #StayTheFHome #WearaMask,AlRobertsonTX03,2020-05-03 21:56:50+00:00,,,#StayTheFHome #WearaMask,46,97,,pos,no shirt no shoes no service - okay however....... no mask no service - i'm going to mentally abuse you and physically hurt you for demanding that i wear a mask. now i ask how much damn sense does that make? #staythefhome  
1257037575124070401,https://twitter.com/Iddybud/status/1257037575124070401,Someone's mother is dying. Someone's father is dying. A sister a brother a friend. Dying. Keep their loved ones in your thoughts. Be grateful for every breath. Think of others. Help however you can. #WearAMask #WashYourHands #StayAtHome #LoveWithoutLimits,Iddybud,2020-05-03 20:01:27+00:00,,,#WearAMask #WashYourHands #WashYourHands #StayAtHome #StayAtHome #LoveWithoutLimits,41,106,,pos,someone's mother is dying. someone's father is dying. a sister a brother a friend. dying. keep their loved ones in your thoughts. be grateful for every breath. think of others. help however you can.   #washyourhands #stayathome #lovewithoutlimits
1257035229664931841,https://twitter.com/Challengers/status/1257035229664931841,It’s disturbing to see how many people are not wearing masks in public in Chicago. When Challengers reopens masks will be mandatory for anyone in the store. Be smart. Be safe. Protect others. #wearamask #besmart… https://www.instagram.com/p/B_vPTOEhNs5/?igshid=1ixnh4uebvcap,Challengers,2020-05-03 19:52:07+00:00,,,#wearamask #besmart,11,54,,pos,it’s disturbing to see how many people are not wearing masks in public in chicago. when challengers reopens masks will be mandatory for anyone in the store. be smart. be safe. protect others.   #besmart… https://www.instagram.com/p/b_vptoehns5/?igshid=1ixnh4uebvcap
1257027479694389259,https://twitter.com/A4Ny14/status/1257027479694389259,If you believe #BlueLivesMatter then #StayHome &amp; help save their lives! Every time you go out refuse to #WearAMask or do not practice #SocialDistancing you put yourself at risk of contracting #coronavirus -- which then puts the lives of #FirstResponders at risk to help you!,A4Ny14,2020-05-03 19:21:20+00:00,,,#BlueLivesMatter #StayHome #StayHome #WearAMask #SocialDistancing #coronavirus #FirstResponders,14,22,,pos,if you believe #bluelivesmatter then #stayhome &amp; help save their lives! every time you go out refuse to   or do not practice #socialdistancing you put yourself at risk of contracting #coronavirus -- which then puts the lives of #firstresponders at risk to help you!
1257000167808602112,https://twitter.com/MissKatieDi/status/1257000167808602112,Wearing my mask to keep everyone safe even if they hate me for it. #wearamask ,MissKatieDi,2020-05-03 17:32:48+00:00,chelseahandler,,#wearamask,9,117,,pos,wearing my mask to keep everyone safe even if they hate me for it.   
1257000089240965123,https://twitter.com/Lil_Larso/status/1257000089240965123,‘Why are you wearing a mask?’... ‘you know they are terribly comfortable. I think everyone will be wearing them in the future.’ #princessbride #asyouwish #wearamask #stayhomewatchDisney,Lil_Larso,2020-05-03 17:32:29+00:00,,,#princessbride #asyouwish #wearamask #stayhomewatchDisney,3,14,,pos,‘why are you wearing a mask?’... ‘you know they are terribly comfortable. i think everyone will be wearing them in the future.’ #princessbride #asyouwish   #stayhomewatchdisney
1256997670356348928,https://twitter.com/WordWhispers/status/1256997670356348928,Wear a mask with love. #WearAMask ,WordWhispers,2020-05-03 17:22:53+00:00,,,#WearAMask,10,18,,pos,wear a mask with love.   
1256989069126651910,https://twitter.com/NYstateparks/status/1256989069126651910, Reminder: For the safety of all visitors and staff please wear a face-covering when you cannot maintain social distance. Together we can stop the spread and save lives. #WearAMask #Stay6FeetApart — -—— -——— ——— ,NYstateparks,2020-05-03 16:48:42+00:00,,,#WearAMask #Stay6FeetApart,22,52,,pos, reminder: for the safety of all visitors and staff please wear a face-covering when you cannot maintain social distance. together we can stop the spread and save lives.   #stay6feetapart — -—— -——— ——— 
1256980662273355779,https://twitter.com/NickGriffinBU/status/1256980662273355779,Priceless. And the plonker's reaction is further confirmation of the fact that today's police couldn't defend themselves let alone a corrupt incompetent freedom-stealing WHOccupation Government. But unless you help push it it won't fall! #WearAMask #EndLockDown,NickGriffinBU,2020-05-03 16:15:18+00:00,,,#WearAMask #EndLockDown,32,66,,pos,priceless. and the plonker's reaction is further confirmation of the fact that today's police couldn't defend themselves let alone a corrupt incompetent freedom-stealing whoccupation government. but unless you help push it it won't fall!   #endlockdown
1256974993994498048,https://twitter.com/hadizel/status/1256974993994498048,Let’s try our best to cope so we may survive… #StayAtHomeStaySafe #WashYourHands #WearAMask,hadizel,2020-05-03 15:52:46+00:00,,,#StayAtHomeStaySafe #WashYourHands #WashYourHands #WearAMask,57,362,,pos,let’s try our best to cope so we may survive… #stayathomestaysafe #washyourhands  
